MONTH,REGION,COUNTRYOFRESIDENCE,OVERNIGHTSTAYS
01/01/2022,Graubünden,Switzerland,392805
01/01/2022,Graubünden,Baltic States,0
01/01/2022,Graubünden,Germany,80648
01/01/2022,Graubünden,France,4229
01/01/2022,Graubünden,Italy,10083
01/01/2022,Graubünden,Austria,3688
01/01/2022,Graubünden,United Kingdom,16282
01/01/2022,Graubünden,Irland,545
01/01/2022,Graubünden,Netherlands,12981
01/01/2022,Graubünden,Belgium,6373
01/01/2022,Graubünden,Luxembourg,1385
01/01/2022,Graubünden,Denmark,1223
01/01/2022,Graubünden,Sweden,1846
01/01/2022,Graubünden,Norway,456
01/01/2022,Graubünden,Finland,462
01/01/2022,Graubünden,Spain,1586
01/01/2022,Graubünden,Portugal,506
01/01/2022,Graubünden,Greece,908
01/01/2022,Graubünden,Turkey,1089
01/01/2022,Graubünden,Other European countries,1092
01/01/2022,Graubünden,Liechtenstein,827
01/01/2022,Graubünden,Iceland,52
01/01/2022,Graubünden,Poland,10201
01/01/2022,Graubünden,Hungary,416
01/01/2022,Graubünden,Belarus,103
01/01/2022,Graubünden,Bulgaria,215
01/01/2022,Graubünden,Malta,209
01/01/2022,Graubünden,Cyprus,299
01/01/2022,Graubünden,Chile,72
01/01/2022,Graubünden,United States,7968
01/01/2022,Graubünden,Canada,1401
01/01/2022,Graubünden,Mexico,302
01/01/2022,Graubünden,Brazil,7270
01/01/2022,Graubünden,Argentina,226
01/01/2022,Graubünden,"Central America, Caribbean",0
01/01/2022,Graubünden,Other South American countries,306
01/01/2022,Graubünden,Other Central American countries,384
01/01/2022,Graubünden,Egypt,31
01/01/2022,Graubünden,Other North African countries,135
01/01/2022,Graubünden,South Africa,232
01/01/2022,Graubünden,Other African countries,131
01/01/2022,Graubünden,Bahrain,26
01/01/2022,Graubünden,Israel,621
01/01/2022,Graubünden,India,162
01/01/2022,Graubünden,Japan,566
01/01/2022,Graubünden,Other South-East Asian countries,454
01/01/2022,Graubünden,Qatar,84
01/01/2022,Graubünden,Kuwait,201
01/01/2022,Graubünden,Australia,1031
01/01/2022,Graubünden,"Australia, New Zealand, Oceania",0
01/01/2022,Graubünden,China,218
01/01/2022,Graubünden,Gulf States,0
01/01/2022,Graubünden,Hong Kong,125
01/01/2022,Graubünden,Indonesia,69
01/01/2022,Graubünden,South Korea,353
01/01/2022,Graubünden,Malaysia,133
01/01/2022,Graubünden,Philippines,66
01/01/2022,Graubünden,"New Zealand, Oceania",139
01/01/2022,Graubünden,Singapore,1073
01/01/2022,Graubünden,Oman,25
01/01/2022,Graubünden,Taiwan (Chinese Taipei),0
01/01/2022,Graubünden,Thailand,208
01/01/2022,Graubünden,Other West Asian countries,355
01/01/2022,Graubünden,Estonia,254
01/01/2022,Graubünden,Latvia,429
01/01/2022,Graubünden,Lithuania,762
01/01/2022,Graubünden,Saudi Arabia,245
01/01/2022,Graubünden,United Arab Emirates,540
01/01/2022,Graubünden,Serbia and Montenegro,0
01/01/2022,Graubünden,Croatia,375
01/01/2022,Graubünden,Romania,1521
01/01/2022,Graubünden,Russia,5621
01/01/2022,Graubünden,Slovakia,480
01/01/2022,Graubünden,Slovenia,325
01/01/2022,Graubünden,Czechia,2158
01/01/2022,Graubünden,Ukraine,3120
01/01/2022,Graubünden,Serbia,123
01/01/2022,Eastern Switzerland,Switzerland,66839
01/01/2022,Eastern Switzerland,Baltic States,0
01/01/2022,Eastern Switzerland,Germany,11535
01/01/2022,Eastern Switzerland,France,731
01/01/2022,Eastern Switzerland,Italy,1167
01/01/2022,Eastern Switzerland,Austria,1400
01/01/2022,Eastern Switzerland,United Kingdom,336
01/01/2022,Eastern Switzerland,Irland,52
01/01/2022,Eastern Switzerland,Netherlands,1024
01/01/2022,Eastern Switzerland,Belgium,210
01/01/2022,Eastern Switzerland,Luxembourg,57
01/01/2022,Eastern Switzerland,Denmark,149
01/01/2022,Eastern Switzerland,Sweden,59
01/01/2022,Eastern Switzerland,Norway,39
01/01/2022,Eastern Switzerland,Finland,40
01/01/2022,Eastern Switzerland,Spain,212
